"Country or Area","Year","Value"
"Hungary","2001","355.943922795488"
"Hungary","2000","273.441768424328"
"Hungary","1999","373.004875213474"
"Hungary","1998","202.777663046885"
"Hungary","1997","120.842801619565"
"Hungary","1996","54.5058633679513"
"Hungary","1995","41.6483824274889"
"Hungary","1994","18.5782736540737"
"Hungary","1993","3.71454036870409"
"Hungary","1992","3.71454036870409"
"Iceland","2014","162.92430942505"
"Iceland","2013","169.59699994519"
"Iceland","2012","173.364013138927"
"Iceland","2011","146.135568475016"
"Iceland","2010","148.74450609698"
"Iceland","2009","114.162503634959"
"Iceland","2008","85.0063343289147"
"Iceland","2007","74.0507553989458"
"Iceland","2006","70.2712220540477"
"Iceland","2005","69.9839180702913"
"Iceland","2004","60.2484921101631"
"Iceland","2003","56.7371434698678"
"Iceland","2002","46.0761384422012"
"Iceland","2001","48.6416260272348"
"Iceland","2000","43.2426842242686"
"Iceland","1999","48.8270751799535"
"Iceland","1998","43.211936923695"
"Iceland","1997","28.7593384968544"
"Iceland","1996","18.5930123882754"
"Iceland","1995","10.225737920955"
"Iceland","1994","2.33844807470778"
"Iceland","1993","1.464132459075"
"Ireland","2014","1155.41752706007"
"Ireland","2013","1070.05099048529"
"Ireland","2012","948.642331332965"
"Ireland","2011","955.223938791502"
"Ireland","2010","932.076700397207"
"Ireland","2009","915.143219255534"
"Ireland","2008","845.809066102674"
"Ireland","2007","906.281947800536"
"Ireland","2006","899.157653372687"
"Ireland","2005","678.876666024681"
"Ireland","2004","682.541885960001"
"Ireland","2003","685.723996004295"
"Ireland","2002","607.010126712402"
"Ireland","2001","590.20198186391"
"Ireland","2000","456.662283846277"
"Ireland","1999","376.407400249996"
"Ireland","1998","374.287879044696"
"Ireland","1997","283.85915921323"
"Ireland","1996","171.065114228286"
"Ireland","1995","103.190244294911"
"Ireland","1994","10.9563290116968"
"Ireland","1993","3.59107427373691"
"Ireland","1992","1.65460506186319"
"Ireland","1991","1.40711876279489"
"Ireland","1990","1.23409233310224"
"Italy","2014","11977.713702619"
"Italy","2013","11501.961494293"
"Italy","2012","10844.3500062769"
"Italy","2011","10326.3785904328"
"Italy","2010","9725.27307577869"
"Italy","2009","9094.78938328605"
"Italy","2008","8379.19866672924"
"Italy","2007","7649.88186830627"
"Italy","2006","6810.98076763433"
"Italy","2005","5998.31858684497"
"Italy","2004","5122.70631063918"
"Italy","2003","4281.46004202424"
"Italy","2002","3466.47580508128"
"Italy","2001","2735.60788065263"
"Italy","2000","2098.1573692364"
"Italy","1999","1956.02768660526"
"Italy","1998","1476.80007576382"
"Italy","1997","957.973264864718"
"Italy","1996","551.050451038267"
"Italy","1995","813.440876179556"
"Italy","1994","588.826127804444"
"Italy","1993","449.278843733333"
"Italy","1992","453.398078222222"
"Italy","1991","449.297351111111"
"Italy","1990","444"
"Japan","2014","35784.9434523257"
"Japan","2013","32087.655774418"
"Japan","2012","29348.3866186668"
"Japan","2011","26071.1982844377"
"Japan","2010","23304.9690842262"
"Japan","2009","20937.1092927225"
"Japan","2008","19284.8217975952"
"Japan","2007","16707.0682779207"
"Japan","2006","14626.9571482769"
"Japan","2005","12781.7375075383"
"Japan","2004","12420.8107871239"
"Japan","2003","16228.3222314537"
"Japan","2002","16236.2858345722"
"Japan","2001","19462.3383671019"
"Japan","2000","22851.8636870797"
"Japan","1999","24368.0585435245"
"Japan","1998","23741.8794201834"
"Japan","1997","24436.5264513971"
"Japan","1996","24597.8641568492"
"Japan","1995","25213.125254391"
"Japan","1994","21051.8952130351"
"Japan","1993","18129.15828489"
"Japan","1992","17767.2240356469"
"Japan","1991","17349.6129448632"
"Japan","1990","15932.3098610065"
"Latvia","2014","212.063871159636"
"Latvia","2013","204.353363501071"
"Latvia","2012","190.207896850381"
"Latvia","2011","184.972517309541"
"Latvia","2010","164.417652418235"
"Latvia","2009","152.138590910531"
"Latvia","2008","142.01922610802"
"Latvia","2007","123.586952647033"
"Latvia","2006","98.086850525309"
"Latvia","2005","63.4773640814357"
"Latvia","2004","47.5387135790823"
"Latvia","2003","31.18425198861"
"Latvia","2002","27.2030886758681"
"Latvia","2001","23.9245928177286"
"Latvia","2000","20.4570997020826"
"Latvia","1999","17.0669956323628"
"Latvia","1998","15.330161580305"
"Latvia","1997","12.7283681866556"
"Latvia","1996","12.586220143499"
"Latvia","1995","11.5016279991938"
"Liechtenstein","2014","12.1466596062458"
"Liechtenstein","2013","11.9508379224311"
"Liechtenstein","2012","11.4988439840028"
"Liechtenstein","2011","10.770146159739"
"Liechtenstein","2010","10.2500525697453"
"Liechtenstein","2009","9.3410475106414"
"Liechtenstein","2008","9.1907279775217"
"Liechtenstein","2007","8.49400444140542"
"Liechtenstein","2006","7.8145503445168"
"Liechtenstein","2005","7.36154383025912"
"Liechtenstein","2004","6.96206085889234"
"Liechtenstein","2003","6.12854893092129"
"Liechtenstein","2002","5.47120399789924"
"Liechtenstein","2001","4.9356520871727"
"Liechtenstein","2000","4.10347221113633"
"Liechtenstein","1999","3.34323851753229"
"Liechtenstein","1998","2.7348908256102"
"Liechtenstein","1997","2.11391962125804"
"Liechtenstein","1996","1.71782472614808"
"Liechtenstein","1995","1.35253391305614"
"Liechtenstein","1994","0.51373349741604"
"Liechtenstein","1993","0.20081994161834"
"Liechtenstein","1992","0.08826257370904"
"Liechtenstein","1991","0.00988335271844"
"Liechtenstein","1990","0.00010441014408"
"Lithuania","2014","449.479787954753"
"Lithuania","2013","405.146292558062"
"Lithuania","2012","351.030836731706"
"Lithuania","2011","306.537871326092"
"Lithuania","2010","259.515570373161"
"Lithuania","2009","216.114372129379"
"Lithuania","2008","194.551173811246"
"Lithuania","2007","155.887743489015"
"Lithuania","2006","120.017532109789"
"Lithuania","2005","90.3089038682215"
"Lithuania","2004","69.0968007721433"
"Lithuania","2003","47.879988507998"
"Lithuania","2002","36.4085334219604"
"Lithuania","2001","28.5939993452548"
"Lithuania","2000","22.0831987915634"
"Lithuania","1999","17.5034231599214"
"Lithuania","1998","13.901545928548"
"Lithuania","1997","10.2196476847356"
"Lithuania","1996","7.68397471124582"
"Lithuania","1995","6.21273748928879"
"Lithuania","1994","0.0927602556"
"Lithuania","1993","0.0278729208"
"Luxembourg","2014","66.0766879932841"
"Luxembourg","2013","61.1682222954284"
"Luxembourg","2012","57.5311209234314"
"Luxembourg","2011","55.1934051673942"
"Luxembourg","2010","52.3280715195735"
"Luxembourg","2009","49.6739784175824"
"Luxembourg","2008","48.8091049327359"
"Luxembourg","2007","46.4557997620297"
"Luxembourg","2006","41.8772018488634"
"Luxembourg","2005","38.9949016952827"
"Luxembourg","2004","39.9933233156594"
"Luxembourg","2003","37.9345721026588"
"Luxembourg","2002","35.6494433937906"
"Luxembourg","2001","32.8475785249045"
"Luxembourg","2000","28.9816074404627"
"Luxembourg","1999","26.2454104674468"
"Luxembourg","1998","24.4518969244807"
"Luxembourg","1997","22.0471605789675"
"Luxembourg","1996","19.6322953370298"
"Luxembourg","1995","17.9033491991708"
"Luxembourg","1994","15.9789225126344"
"Luxembourg","1993","14.6976863369836"
"Luxembourg","1992","13.6806908058016"
"Luxembourg","1991","0.0011678141475"
"Luxembourg","1990","7.15E-05"
"Malta","2014","233.784277903461"
"Malta","2013","218.330530876193"
"Malta","2012","200.930113967747"
"Malta","2011","167.744424973654"
"Malta","2010","144.495203602493"
"Malta","2009","132.768178643846"
"Malta","2008","111.708521589918"
"Malta","2007","95.5830936860767"
"Malta","2006","78.4943190080826"
"Malta","2005","41.115544771912"
"Malta","2004","27.5364022756943"
"Malta","2003","17.3511596216619"
"Malta","2002","14.6629379621564"
"Malta","2001","9.69281308007176"
"Malta","2000","3.71971962315223"
"Malta","1999","0.01127198139642"
"Malta","1998","0.00751933941466"
"Malta","1997","0.00470204555132"
"Malta","1996","0.0028229142942"
"Malta","1995","0.0018847686"
"Malta","1994","0.0009438"
"Monaco","2013","9.53623912835153"
"Monaco","2012","8.27926999480661"
"Monaco","2011","8.98846362308126"
"Monaco","2010","8.03400705441001"
"Monaco","2009","7.83964964108608"
"Monaco","2008","7.83126471304914"
"Monaco","2007","7.86987740677532"
"Monaco","2006","5.84082202810524"
"Monaco","2005","6.65426834400056"
"Monaco","2004","6.17801344242055"
"Monaco","2003","5.29890156502848"
"Monaco","2002","4.68300665932196"
"Monaco","2001","3.60079760784367"
"Monaco","2000","5.6672333238057"
"Monaco","1999","2.60824248114275"
"Monaco","1998","2.31116124808006"
"Monaco","1997","1.51033094886808"
"Monaco","1996","1.50217817984922"
"Monaco","1995","0.698369009856"
"Monaco","1994","0.50919363448216"
"Monaco","1993","0.44948334885335"
"Monaco","1992","0.44358992963016"
"Monaco","1991","0.38651932503437"
"Monaco","1990","0.37654009653127"
"Netherlands","2014","2241.15761748707"
"Netherlands","2013","2234.12779857061"
"Netherlands","2012","2191.50336427778"
"Netherlands","2011","2244.1679770456"
"Netherlands","2010","2484.84342221622"
"Netherlands","2009","2174.82758924066"
"Netherlands","2008","2082.44209539599"
"Netherlands","2007","1989.59643517676"
"Netherlands","2006","1862.2158477285"
"Netherlands","2005","1618.73039716429"
"Netherlands","2004","1801.64550570505"
"Netherlands","2003","1684.23967704698"
"Netherlands","2002","1926.79578322871"
"Netherlands","2001","1811.46647340432"
"Netherlands","2000","4713.27017045786"
"Netherlands","1999","5973.60002793951"
"Netherlands","1998","11549.2094779801"
"Netherlands","1997","10188.4732960192"
"Netherlands","1996","9590.24346792922"
"Netherlands","1995","7570.52654128528"
"Netherlands","1994","8159.28363722576"
"Netherlands","1993","6311.61511"
"Netherlands","1992","5621.292034"
"Netherlands","1991","4366.074"
"Netherlands","1990","5606.3288"
"New Zealand","2014","1517.22797429"
"New Zealand","2013","1518.4487585885"
"New Zealand","2012","1474.5943229125"
"New Zealand","2011","1479.425952727"
"New Zealand","2010","1162.5744643025"
"New Zealand","2009","1095.7966787515"
"New Zealand","2008","1045.8525963345"
"New Zealand","2007","967.3103103525"
"New Zealand","2006","838.0692772765"
"New Zealand","2005","745.6386440485"
"New Zealand","2004","680.694666532"
"New Zealand","2003","651.086102465"
"New Zealand","2002","485.419802786"
"New Zealand","2001","307.6002101545"
"New Zealand","2000","252.8987617955"
"New Zealand","1999","255.9831976"
"New Zealand","1998","156.0099056915"
"New Zealand","1997","132.5064696275"
"New Zealand","1996","128.1052632625"
"New Zealand","1995","57.8470484425"
"New Zealand","1994","18.549829601"
"New Zealand","1993","0.1716"
"New Zealand","1992","0.0429"
"Norway","2014","1187.55106145532"
"Norway","2013","1155.09514199614"
"Norway","2012","1140.96999200486"
"Norway","2011","1105.88675600444"
"Norway","2010","1064.59973300029"
"Norway","2009","856.146427697702"
"Norway","2008","806.139552937448"
"Norway","2007","715.382599501865"
"Norway","2006","678.091578728714"
"Norway","2005","614.391364491026"
"Norway","2004","597.303653769519"
"Norway","2003","557.829130911512"
"Norway","2002","578.470730617256"
"Norway","2001","473.591877740901"
"Norway","2000","383.589151587488"
"Norway","1999","316.365282795911"
"Norway","1998","244.454161738242"
"Norway","1997","191.936111480466"
"Norway","1996","130.009389969392"
"Norway","1995","92.300677732906"
"Norway","1994","49.8838279999625"
"Norway","1993","31.6409788000104"
"Norway","1992","19.9496100199995"
"Norway","1991","9.9097081969995"
"Norway","1990","0.043896921"
"Poland","2014","8586.93099752278"
"Poland","2013","8091.91898035242"
"Poland","2012","7720.45274043106"
"Poland","2011","7449.6134070928"
"Poland","2010","6782.77456101354"
"Poland","2009","6098.20121815902"
"Poland","2008","6088.80616974721"
"Poland","2007","5742.2954422553"
"Poland","2006","5140.54958973487"
"Poland","2005","4471.061431338"
"Poland","2004","3647.55422581431"
"Poland","2003","2992.32614167878"
"Poland","2002","2420.25701950106"
"Poland","2001","1839.66585225867"
"Poland","2000","1280.82610048875"
"Poland","1999","673.37715769634"
"Poland","1998","462.22828650224"
"Poland","1997","373.92872266228"
"Poland","1996","228.40582204828"
"Poland","1995","97.3435569192"
"Portugal","2014","2439.3050815754"
"Portugal","2013","2309.50077353087"
"Portugal","2012","2165.80494246783"
"Portugal","2011","2050.62498136657"
"Portugal","2010","1909.74038472559"
"Portugal","2009","1763.33936842818"
"Portugal","2008","1569.10606682585"
"Portugal","2007","1320.69100943632"
"Portugal","2006","1087.60225078355"
"Portugal","2005","906.369105166232"
"Portugal","2004","731.408096327626"
"Portugal","2003","616.705342823917"
"Portugal","2002","481.229440947543"
"Portugal","2001","365.109145879174"
"Portugal","2000","281.224273441173"
"Portugal","1999","211.771252635068"
"Portugal","1998","146.234134776963"
"Portugal","1997","100.88452104776"
"Portugal","1996","59.0512622629464"
"Portugal","1995","35.4200480990794"
"Romania","2014","1373.27619594984"
"Romania","2013","1298.59486038888"
"Romania","2012","1197.4339631475"
"Romania","2011","1092.23793704097"
"Romania","2010","982.4648959366"
"Romania","2009","924.424495839208"
"Romania","2008","946.94509060053"
"Romania","2007","665.629414843048"
"Romania","2006","484.198745910485"
"Romania","2005","368.908308524474"
"Romania","2004","293.933728396381"
"Romania","2003","228.748298822658"
"Romania","2002","168.16060570066"
"Romania","2001","112.874177660051"
"Romania","2000","70.8150467786572"
"Romania","1999","39.7271833843805"
"Romania","1998","23.8780605563935"
"Romania","1997","10.3601905678188"
"Romania","1996","4.72378228524326"
"Romania","1995","2.52603566422256"
"Romania","1994","1.19943428777119"
"Romania","1993","0.72557471173243"
"Romania","1992","0.44593471938154"
"Romania","1991","0.28668813826203"
"Romania","1990","0.18119293223939"
"Russian Federation","2014","24149.0718155874"
"Russian Federation","2013","21503.2502962644"
"Russian Federation","2012","17648.850297369"
"Russian Federation","2011","11309.9038212035"
"Russian Federation","2010","13421.6122390294"
"Russian Federation","2009","12514.1099677913"
"Russian Federation","2008","17934.2776173175"
"Russian Federation","2007","16857.9950497273"
"Russian Federation","2006","18026.7121398838"
"Russian Federation","2005","19813.7903082148"
"Russian Federation","2004","18416.2198323824"
"Russian Federation","2003","14612.7516815278"
"Russian Federation","2002","19302.0722630626"
"Russian Federation","2001","25208.8051647327"
"Russian Federation","2000","26569.6768412658"
"Russian Federation","1999","22672.1806452837"
"Russian Federation","1998","21834.2957949383"
"Russian Federation","1997","18009.6068129631"
"Russian Federation","1996","13611.0757080152"
"Russian Federation","1995","15447.3214609136"
"Russian Federation","1994","15469.6355295884"
"Russian Federation","1993","18278.4100904389"
"Russian Federation","1992","28192.1402495568"
"Russian Federation","1991","34229.660541312"
"Russian Federation","1990","35937.158805248"
"Slovakia","2014","546.015523821864"
"Slovakia","2013","535.192332482989"
"Slovakia","2012","530.053001611878"
"Slovakia","2011","521.856075102875"
"Slovakia","2010","529.678546651399"
"Slovakia","2009","441.626979457085"
"Slovakia","2008","386.228973506857"
"Slovakia","2007","325.441077409888"
"Slovakia","2006","282.673378463673"
"Slovakia","2005","240.673762562375"
"Slovakia","2004","208.943018275412"
"Slovakia","2003","175.018468474779"
"Slovakia","2002","146.229947524467"
"Slovakia","2001","112.83353516956"
"Slovakia","2000","84.7255503779299"
"Slovakia","1999","61.6349706420788"
"Slovakia","1998","42.6214850222873"
"Slovakia","1997","32.3852854459489"
"Slovakia","1996","22.2312301835423"
"Slovakia","1995","10.4907173871421"
"Slovakia","1994","0.1958936"
"Slovenia","2014","323.824130879435"
"Slovenia","2013","301.922716833091"
